label,pivot_lang,translated,original
Блок заместителя генерального директора по организационным вопросам,deu_Latn,"Общество с ограниченной ответственностью [ОРГАНИСАЦИЯ] [ЗАДЕСЬЯ] [DocUMENT_NUMBER] VAB/GEHAMME [ID]/[ID] Предложу Главе Отдела по социальной помощи, О.L.O. [ОРГАНИЗАЦИЯ] [ЛЮБОЛ] Вызов к увеличению рабочего времени, и [УГОЗЕК] Verehrte [ЛЮБОЛ]! В силу оперативной необходимости, чтобы избежать перебоев в сфере обслуживания и направить чиновников в правильном направлении, просим О.L.O. [ОРГАНИЗАЦИЯ] об отмене срока действия на [DATE_TIME] [FINITION_PERSONALS]. [DATES] Для других сотрудников необходимо отметить следующие условия: [DATE_TIME] [CLIENTENCE] [PERSONALS] [TIME] [PERSONALSISON] [TIME] [TITEMAP] [Data_TIM] [TEM], [TEMER] [TIM] [PERSON], [TEMER] [TEMER] [TEMER] [PERSONTS] [TEMER] [TEMER] [PERSONTEMER] [C: [TEMERNON] [TEMPERSON] [GATES] [CALS: No longer][TEMENTER [TEMER: [TEMERS]: [TEMER] [TEMER: [TEMER] [TEMER] [TEMER: [TEMER] [TEMER] [GATE]: [TEMER_TEMER_TEMER] [TEMER]: [TEMER] [TEMER [CEN:TEMERTEMER] [TEMER] No:TEMER_TEMER:TEMER [TEMER [TEMER] [TEMER] [TEMER [TEMER]TEMER] [G:TEMER[TEMERTEMER:","Общество с ограниченной ответственностью [ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] ИНН/КПП [ID]/[ID] На начальнику управления социального благотворительного обеспечения ООО [ORGANIZATION] [PERSON] Запрос на продление вахты на [OBJECT] Уважаемая [PERSON]! В связи с производственной необходимостью, во избежание срыва оказания услуг на объекте [OBJECT] и упорядочивание дат перевахты сменников по должности сотрудников, ООО [ORGANIZATION] просит Вас согласовать продление срока вахты с [DATE_TIME] на [FINANCIAL_DATA] дней для следующих сотрудников: No Должность [PERSON] [PERSON] [FINANCIAL_DATA] [DATE_TIME] Сообщаем, что сотрудник не имеет медицинских противопоказаний, а также при условии, что смена сотрудников не позднее выезда сменных дат, общего срока пребывания не превысит [FINANCIAL_DATA] дней. Генеральный директор ООО [ORGANIZATION] [PERSON] Информация по телефону: [CONTACT] E-mail: [CONTACT]"
Блок заместителя генерального директора по организационным вопросам,deu_Latn,Ответ на письмо от [DATE_TIME] о готовности предоставления услуг информирует [Организации] о готовности предоставлять услуги и заключении дополнительных контрактов на предоставление услуг из гарантированного периода в гарантийный период при действующих условиях для следующих договоров: [COOP 1.Соглашение No [DOCUMENT_CONCONSECTOR] от [DATE_TIME] Ответ на готовность предоставления услуг информирует [Организации] о готовности предоставлять услуги и заключении дополнительных контрактов на предоставление объемов услуг из гарантийного периода в течение гарантийного периода на договорных условиях: [COOP 1.Соглашение No [DOCUMENT_CONSECTOR] от [DATE_TIME] от [COOP] Общее значение [COOP] для поставки услуг [Объекты] [Director] [Объекты] Оплата услуг для оказания услуг из [Director] [COOP] от [Director] Управляющий [Director] от [COOP] ОООД [Объекты] [Объекты] О предоставлении услуг от [Объектитет] [Объект] [Объект] [Объективной значение [Объекты] [Объект] [Объект] [Объект] [Объекты] [Объект] [Объект] [Соблада] [Объект] [Объект] [Объект] [Объект] [Объект] [Объект] [Объект] [Объект] [Объект] [Оделец] [Оде].,[ORGANIZATION] [ID] Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] на начальную управление социального-бытового обеспечения [ORGANIZATION] [PERSON] Тема: О готовности оказания услуг Уважаемая [PERSON]! В ответ на письмо Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] Запрос о готовности оказания услуг [ORGANIZATION] сообщает о готовности на продолжение оказания услуг и заключения дополнительных соглашений на перевод объема услуг гарантийного периода в гарантийный период в действующих условиях расценках по следующим договорам: 1. Договор No [DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по комплексному обслуживанию объектов социально-бытового назначения на [OBJECT]; 2. Договор No [DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по комплексному обслуживанию объектов социально-бытового назначения на [OBJECT]; 3. Договор No [DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по комплексному обслуживанию объектов социально-бытового назначения на [OBJECT]. Генеральный директор [ORGANIZATION] Исполнитель: [PERSON] Тел. [CONTACT] Email. [CONTACT] Инициатор: [PERSON] Руководитель департамента Тел. [CONTACT]
Проект «Обустройство объектов Новейшей нейти»,deu_Latn,"В дополнение к письму о авансовой выплате в рамках заключения Контракта [Document_TIME] для завершения строительства корпоративного комплекса объектов внешнего обслуживания и запасных инфраструктурных объектов [Object] (включая строительный парк (свод для грузоподъемников, BHZ, компрессор и плацдарм)), которое было отправлено заранее), я прошу вас о авансовой выплате в объеме [CONPARGANTAG] в рамках Грантия двух банков, в том числе о погашении гарантии двух банков ЗБ.Э.З.: Грантия и возвращение одной.Грантии и сумма денег от банков 2 [E-Garantee 1].Грантия и сумма платежей из одной банки 1 и 2 банка 2 [E-Garantee 2]: 2 [E-Garantee 2]: 2 [E-Garantee 2].2 В отношении гарантии возвращения денег и платежей из одной банки 1 2 [E-Garantee 2] 1 2 2 Погашение денег и 2 2 [E-Garantee 2]: 2 О погашения 2 банков.","[DATE_TIME] исх. No [DOCUMENT_NUMBER] Руководителю проекта [OBJECT] [ORGANIZATION] [PERSON] Об авансировании Уважаемый [PERSON]! В дополнение к ранее направленному письму об авансировании в рамках Наряд-Заказов [DOCUMENT_NUMBER], заключенных по договору подряда [DOCUMENT_NUMBER] на выполнение комплекса работ по строительству площадочных объектов и объектов вспомогательной инфраструктуры [OBJECT] (в т.ч. строительство Резервуарного парка, ОБП с ВЖК [OBJECT], Компрессорной станции на [OBJECT]), прошу согласовать обеспечение аванса в размере [FINANCIAL_DATA] с учетом НДС двумя банковскими гарантиями возврата аванса. При этом информируем, что выпуск двух банковских гарантий может быть одномоментный. Приложения: 1. Проект банковской гарантии возврата аванса 1 на 2 л.; 2. Проект банковской гарантии возврата аванса 2 на 2 л. С уважением, И.о. генерального директора [PERSON] Исп.: [PERSON] тел.: [CONTACT] e-mail: [CONTACT]"
Проект «Обустройство объектов Новейшей нейти»,deu_Latn,"Кроме предыдущего Письма о предоплате в рамках заказов по заказу по [DOCUMENT_TIME] на выполнение проектов строительного комплекса объектов и вспомогательных объектов [ОБЪЕКТ] (включая строительство Резервуаров, ОСПОРТНЫЕ СОВЕРЖДЕНЫЕ СТЕРЕЙНКИЕ С ТЕПЛОЗНОЙ СЭЩЕЙ, проектное строительство компрессорной станции [ОБЪЕКТ]) Я прошу Вас выдать гарантию предоплаты на сумму [SINDEMATTERGarantee] на основании двух банковских гарантий от NPS (в этом случае может быть дана гарантия выплат: электронная почта: [email protected] /WEB посылка - [email protected] /WEB об гарантиях выдачи кредита по заказу по заказу по заказу для две банковские гарантии выдачи кредита: один гарантия выплат - [email protected] /WEB в обязательном порядке переплаты за две суммы на считанный товар; гарантия возвратов - через два банковских банка; [email protected]; гарантию выплат: 2 сумм €.","[DATE_TIME] исх. No [DOCUMENT_NUMBER] Руководителю проекта [OBJECT] [ORGANIZATION] [PERSON] Об авансировании Уважаемый [PERSON]! В дополнение к ранее направленному письму об авансировании в рамках Наряд-Заказов [DOCUMENT_NUMBER], заключенных по договору подряда [DOCUMENT_NUMBER] на выполнение комплекса работ по строительству площадочных объектов и объектов вспомогательной инфраструктуры [OBJECT] (в т.ч. строительство Резервуарного парка, ОБП с ВЖК [OBJECT], Компрессорной станции на [OBJECT]), прошу согласовать обеспечение аванса в размере [FINANCIAL_DATA] с учетом НДС двумя банковскими гарантиями возврата аванса. При этом информируем, что выпуск двух банковских гарантий может быть одномоментный. Приложения: 1. Проект банковской гарантии возврата аванса 1 на 2 л.; 2. Проект банковской гарантии возврата аванса 2 на 2 л. С уважением, И.о. генерального директора [PERSON] Исп.: [PERSON] тел.: [CONTACT] e-mail: [CONTACT]"
Проект «Обустройство объектов Новейшей нейти»,deu_Latn,"Обратите внимание, что программа обеспечения охраны окружающей среды в отношении производства (далее PIR) вытекает из соглашения о согласовании на строительство между [ORGANIZATION] (далее Заказчик) и [ORGANIZATION] (далее Застройщик) от [DATE_TIME] от [NOTAGE] (далее Договор) с целью реализации Контрактом на строительство (см. пункт 6.52.13).В пункте 6.52.13 изложен обязанность застройщика разработать и выполнить Программу охраны окружающей среды в производстве, а также провести конкурсные работы по строительству.Сообщается, что Программа охраны окружающей среды в производстве (далее PIR) направлена на создание условий для строительства для строительства (далее Заказчик) и [ORGANIZATOR] (далее Застройщик) со стороны ENVISENTIONSHEN.ЭНЕИФФТЕКШЕНES.ЭНЕИФТЕКШЕНЕС.ЭНЫХЕЛЬЮР.БОПРЕЖЕНЦИОНАЦИЯ СЭСТРОЕРИЦИЯ ПРОектов.СТОЛЬ ПРОЕГЕНСОГОЗЕЦИЯЕТСТВЕНСТИИЯ НАДОСТАНИЯНАВННИЯ ПРОекта необходимо принимать положительное решение при подготовке проекта.Проект имеет право, приходящие в соответствие с законодательством по сохранению окружающей среды (облагаевой среды и энергии) и его соответствию наработанным условиям.О необходимо сообразовать проект в договор о со странах охраны окружающей среды. (включитесь: АЗона) и [ЕНЕНЕИФТЕКРИФТЕКТЕКТОР:[RННСТОЛЮЦЦИР] - [ИФТЕРЕРИЕТЕК] - проект для получения экологической защиты окружающей среды].","[DATE_TIME] исх. No [DOCUMENT_NUMBER] Руководителю проекта [OBJECT] [ORGANIZATION] [ORGANIZATION] [PERSON] О разработке программы производственного экологического мониторинга Уважаемый [PERSON]! Между [ORGANIZATION] (далее – Заказчик) и [ORGANIZATION] (далее – Подрядчик) заключен договор на выполнение строительно-монтажных работ от [DATE_TIME] No[DOCUMENT_NUMBER] (далее – договор). Пунктом 6.52.13 на Подрядчика возложена обязанность по разработке программы производственного экологического мониторинга и выполнению данной программы. Необходимо отметить, что проведение производственного экологического мониторинга (далее – ПЭМ) определяется разделом Проектной документации Перечень мероприятий по охране окружающей среды. В связи с тем, что по состоянию на [DATE_TIME] по проектной документации на объект [OBJECT] не получено положительное заключение государственной экологической экспертизы, а также отсутствует разрешение на строительство, [ORGANIZATION] просит Вас согласовать перенос срока разработки программы ПЭМ до момента получения разрешения на строительство и получения положительного заключения экспертизы на проектную документацию. С уважением, Генеральный директор Исп.: [PERSON] тел.: [CONTACT] e-mail: [CONTACT] [PERSON]"
Проект «Обустройство объектов Новейшей нейти»,deu_Latn,"[УРАЗНИК] [ЧАС] [РАСПЕТ] [ЛИТЕР] [ОГЕНТ] [ОРГАНИЗАЦИЯ] [ЛИЦА] Для разработки программы по производственному мониторингу окружающей среды ВЕРЩИТЕ [ЛЮДЕ]! Между [ОГАНИЗАЦИЕ] (далее Заказчик) и [ОГАНИЗАЦИЕ] (далее Предприниматель) был заключен Договор о проведении строительных работ и установок от отправной работ от [СОГЛАСЕНИЕ] [ДОКУМЕНТ] No [DOC] [ЧАС] (далее] В разделе 6.52.13 Договора контракт подрядчик обязуется разработать программу по производственному мониторингу окружающей среды и осуществлять такую программу. Учтите, что сроки, установленные для проведения Программы по производству экологических наблюдений, отражают прецедентные сроки (ЭНОВОРГАНИЗАЦИЯ ОГАНИЗАЦИИИЯ / ЭРГАНИЗАЦИЯ ОРГАНИЗАЦИИИИЯ) [ЛИНОВОРГЕННАЦИЯ] Проект должен быть завершен с разрешением, либо с указанием и согласией на его (или с указанием) (или с указанием) [ЭЭНОВОРГЛЮДОСТ, [ЛЬТРГЕНИТЕРНИТЕРНЦИЯ ЭРГЕНЦИЯ].","[DATE_TIME] исх. No [DOCUMENT_NUMBER] Руководителю проекта [OBJECT] [ORGANIZATION] [ORGANIZATION] [PERSON] О разработке программы производственного экологического мониторинга Уважаемый [PERSON]! Между [ORGANIZATION] (далее – Заказчик) и [ORGANIZATION] (далее – Подрядчик) заключен договор на выполнение строительно-монтажных работ от [DATE_TIME] No[DOCUMENT_NUMBER] (далее – договор). Пунктом 6.52.13 на Подрядчика возложена обязанность по разработке программы производственного экологического мониторинга и выполнению данной программы. Необходимо отметить, что проведение производственного экологического мониторинга (далее – ПЭМ) определяется разделом Проектной документации Перечень мероприятий по охране окружающей среды. В связи с тем, что по состоянию на [DATE_TIME] по проектной документации на объект [OBJECT] не получено положительное заключение государственной экологической экспертизы, а также отсутствует разрешение на строительство, [ORGANIZATION] просит Вас согласовать перенос срока разработки программы ПЭМ до момента получения разрешения на строительство и получения положительного заключения экспертизы на проектную документацию. С уважением, Генеральный директор Исп.: [PERSON] тел.: [CONTACT] e-mail: [CONTACT] [PERSON]"
Блок финансового директора,deu_Latn,Заполните и перешли на e-mail [Контактный адрес] приложенные к нему [ЗАПАСОВЕРЕННИК] экономические вопросы [ДОТОЧНИК] и инвестиционные вопросы [НОТАМ] Дата 3: Заместитель Управляющего Департаментом [ЗАРИЩЕ] Документация об электронной оценке сертификата отбирателя [ДОТОЧНИК] [ЛЮБОЖЬ] Регистрация со стороны руководства компании [DATE_TIME] [DATE_TIME] [PERSON] [PERSON] [ВЕРСОН] [DATE_TIME] [AWARDSIT] [TIME_TIME] [DATE_TIME] [TIME] [DATE_TIME] [Date_TIME] [PERSON] [DATE_TIME] [TIME_TIME] [NORSITUATION] [AXE] [SITUATION] [DATE_TIME] [PERSON] [PERSON] [DATE_TIME] [TIME] [NORSITUIZED] [SITUATION] [NOR] [SITUTION] [PERSON] [TIME] [PERSON] [TIME] [TIME] [TIME] [TIME] [TIME] [TIME] [TIME] [DATE] [TIME] [TIME] [TIME] [TIME] [TIME] [TIME] [TIME] [SITURNY [N [NAME] [DEFER [TIME] [TIL] [TIN [TIMER [N[DATE] [MEN] [TIME] [SITUR] [SITU] [TIM] [TIME] [TIME] [TIME] [PERSON] [TIMER] [TIME] [TIN [TIME] [TIME] [TIN] [TIN] [TUM] [TIN] [PERSON [TIM] [TIMER [PERSON] [T [TIN] [TIT] [TING [TIN] [N] [TIN] [TIN] [TIN] [TIN] [TIN] [TIN] [TIN] [TIN] [TIN] [TIN] [TIN] [TIN [TIN [TIN [TIN] [TIN [S] [TIN] [TIN [TIN] [TIN] [TIN [TIN [TIN [TIN] [TIN [TIN [TIN [TIN [TIN [TIN [TIN] [TIN [TIN [TIN [TIN [TIN] [TIN [TIN [TIN [TIN [TIN] [TIN [TIN [TIN] [TIN [TIN] [TIN [TIN] [TIN [TIN [TIN [TIN [TIN [TIN [TIN [TIN [TIN] [TIN [TIN [TIN [TIN] [TIN] [TIN] [TIN [TIN [TIN [TIN] [TIN [TIN [TIN [TIN [TIN [TIN [TIN [TIN [TIN [TIN [TIN [TIN [TIN] [TIN [TIN] [TIN] [TIN [TIN [TIN [TIN [TIN [TIN [TIN [TIN [TIN],"[ORGANIZATION] [PERSON] [LOCATION] [CONTACT] [DATE_TIME] [DOCUMENT_NUMBER] на от [ORGANIZATION] Уважаемый [PERSON]! Направляем Вам конъюнктурный обзор по [LOCATION] за [DATE_TIME], подготовленный на основе данных опроса предприятий. Прилагаемые конъюнктурная анкета за [DATE_TIME] и инвестиционная анкета за [DATE_TIME] просим заполнить и передать по электронной почте [CONTACT]. Приложение: 3 файла. Заместитель управляющего Отделением [LOCATION] [PERSON] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат [ID] Владелец [PERSON] [ID] Действителен с [DATE_TIME] по [DATE_TIME] [PERSON] [PHONE]"
Блок финансового директора,deu_Latn,[DATE_TIME] [KONTAKT] [ОПЕРАТИВЬ] [ЛЮДЬ] [DATE_TIME] Нет [DOCUMENT_NUMBER] на [OPERATE] для отправки по электронной почте информации о противном игроке Дорогая Лицо!За подачу налоговой декларации в отношении составления и передачи уведомления о контролируемых транзакциях в ИСС Российской Федерации am [DATE_TIME] bitte ich Sie zu [ORGANIZATION] schäken информацию о фирме на основании формы SWEEDEN AUFUSPONTER_INTRANTEXTEREN für [DATE_TIME].Президентский адрес фирмы доступен по электронной почте.Подпись на адрес абонента: [ContactBlatt] [ContactPlat: Forward] [ContactFlat: Forward] [Contact: Forward] [ContactPlat: [About: Forward] [ContactBlat: Forward] [ContactContact: Front] [Contact: [Great: Front: Front: Front] [Blatt: [Contact: Front: Front] [Contant: [E-Email: Front: Front: Front: Front: Front] [Content] [Contact: [End] [Flat: [End] [Email: [Email: Front: Front: ... ] [End: [End]: ] [End: ...] [Email: [End] [End: [End:End:End::[] [Email:[End:End:End: ......]Ext:End] ][end:End]: ...,"[ORGANIZATION] [ID] / [DOCUMENT_NUMBER] [CONTACT] [ORGANIZATION] [PERSON] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] направлении сведений о контрагенте Уважаемый [PERSON]! Для подготовки налоговой отчетности в части составления и предоставления в ИФНС РФ уведомления о контролируемых сделках в [DATE_TIME], Прошу Вас направить в адрес [ORGANIZATION] информацию о Компании по форме СВЕДЕНИЯ О КОНТРАГЕНТЕ-РЕЗИДЕНТЕ за [DATE_TIME]. Бланк формы прилагается. Адрес для отправки формы: [CONTACT] Приложение: ФОРМА - СВЕДЕНИЯ О КОНТРАГЕНТЕ-РЕЗИДЕНТЕ. С уважением, [PERSON] [PERSON] Тел.: [CONTACT] E-mail: [CONTACT]"
Блок финансового директора,deu_Latn,"Уважаемый [ЧЕХНО]! мы посылаем Вам событийный отчёт о местонахождении для [Дата_ВРЕМЯ] на основе данных от предпринимательского опроса. заполните соответствующие событийные и инвестиционные данные для [Дата_ВРЕМЯ], пожалуйста, и отправьте их по E-Mail [ВАЖНЫЙ], Приложение: Дата 3. Замдиректора отдела [МОСТО] [ЧЕСНО] Документ / АМПЕРИЯ ДЕСТИТИКАтов [ДАРАТЫ] [ДАСТИФОК] [ДАСТОВРАЧКА] [АМПЕРИЙ] [АМПЕРИЯ ПРЕЗИДЕНТА] [АМПРЕЗИДЕНТА] [АМПРЕСИДЕНТ] [ПЕРЗИДЕНТА] [АМПРЕСИЙ] [ДАСТОВРАЧНЫ] [ЭТАМПЕРИЯ ПРЕЗИДЕНТА] [ТАМПЕРЗИДЕНТА] [ТАРТРЕЗЕНТАРЕЗЕЗНТ] [ТАРЕЗАТВЕРЕНТЕРЕРЕЗЕНТ [ТАТЕРЗИТИЙ] [ТАРЕЗ] [ТАРЕЗ] [ТАРЕЗ] [ТАРЕЗ] [ТАРЕЗ] [ТАРЕЗ] [ТАРEЗ] [ТАРЕЗ] [ТАРЕЗ] [ТАРЕЗ]","[ORGANIZATION] [PERSON] [LOCATION] [CONTACT] [DATE_TIME] [DOCUMENT_NUMBER] на от [ORGANIZATION] Уважаемый [PERSON]! Направляем Вам конъюнктурный обзор по [LOCATION] за [DATE_TIME], подготовленный на основе данных опроса предприятий. Прилагаемые конъюнктурная анкета за [DATE_TIME] и инвестиционная анкета за [DATE_TIME] просим заполнить и передать по электронной почте [CONTACT]. Приложение: 3 файла. Заместитель управляющего Отделением [LOCATION] [PERSON] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат [ID] Владелец [PERSON] [ID] Действителен с [DATE_TIME] по [DATE_TIME] [PERSON] [PHONE]"
Блок финансового директора,deu_Latn,"[Организация] Нефть Государственные Компании [Организация] Нефть [ОПРЕДВЕЛЯЮЩЕСТВО [ДАТЬ_ВРЕМЕН] В ПЕРЕСПЛАТИВАНИЕ: [МЕСТИЦА], [ДАТЬ_ВРЕМЕНТ] No [ДОСТРОБАННЫЙ] No [ООРГАНИЗАЦИИ] No [ОООРГАНИЗАЦИЯ] по проведению оценки ставки инвестзастройки Поставка инвестиций ЧАСТНЫЙ ИЖЕК [ЛЮБ!] В связи с необходимостью продления условий предоставления услуги [Организация] в сотрудничестве с [Организация] по отправке с [DATE_TIME] до [DATE_TIME] [Организация] будет проведена экологическая оценка проектов, предназначенная для обеспечения потребностей участников [РАНИКТА РАССТОРЕНИЯ]. Предложение Проектов Участники проектов 1. Определять временные сроки, 1. Определять, 2. Определять сроки выполнения заданий 2. Определять и 2. Определять 2. Определять сроки, 2. Определять 2. Определять. 2. Определение проектов 2. 2. Определять. 1. Одоведение проектов 1. Определять, вносить 2. Осуществлять, 2. Осуждать и Осуждать и передавать. [Обновление] 2. Осуществлять информацию, необходимующую при в ходе реализации объектов, а также и осуществлении, при деятельности в случае переме в случае переной, в связи с возникновении работ, и проведения финансировании.","[ORGANIZATION] нефть Публичное акционерное общество [ORGANIZATION] нефть (ПАО [ORGANIZATION] нефть) Для корреспонденции: [LOCATION], [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] проведении оценки стоимости замещения имущества Уважаемый [PERSON]! В связи с необходимостью обновления условий страхования имущества [ORGANIZATION] в период с [DATE_TIME] по [DATE_TIME] [ORGANIZATION] совместно с компанией [ORGANIZATION] будут проводиться мероприятия по оценке стоимости замещения имущества (Далее - Оценка) [ORGANIZATION] в целях страхования имущества. Предполагаемый список участников в Приложении 1, возможны изменения. Прошу Вас поручить ответственным лицам [ORGANIZATION]: 1. Организовать трансфер до объектов [ORGANIZATION] и перемещение на объектах [ORGANIZATION] в соответствии с Приложением 2. 2. Обеспечить доступ участников Оценки на производственные объекты и строительные площадки [ORGANIZATION] с сопровождающими лицами и с возможностью проведения фотосъемки. 3. Подготовить и направить необходимую информацию в соответствии с Приложением 3 Эксперту по страхованию Департамента по финансам [ORGANIZATION] [PERSON]. 4. Обеспечить проведение необходимых встреч с сотрудниками [ORGANIZATION] указанными в Приложении 2. Прошу довести эту информацию до руководства соответствующих подразделений [ORGANIZATION] и скоординировать работу по организации мероприятий по Оценке с Экспертом по страхованию Департамента по финансам [ORGANIZATION] [PERSON]. Приложения: 1. Список участников; 2. Программа мероприятий; 3. Необходимые данные и документы. С уважением, [PERSON] [CONTACT] [PERSON]"
