label,translated,original
Блок заместителя генерального директора по организационным вопросам,"Компания с ограниченной ответственностью [ORGANIZATION] [LOCATION] по [OBJECT] проекту [DOCUMENT_NUMBER], д.3, этаж 3, офис 325 [ID] Наименование юридического лица [ORGANIZATION] [PERSON] Запрос о подписании остатка на [LOCATION] Дорогой [PERSON]! В связи с осуществлением необходимых мер, чтобы избежать сбоев в предоставлении услуг [ORGANIZATION] прошу Вас согласиться подписать остаток [FINANCIAL_DATA] на следующих объектах: No PP Объект [PERSON] [FINANCIAL_DATA] [FINANCIAL_DATA] [DATE_TIME] Информируем Вас, что при выполнении работ замена работников происходит не реже одного раза в месяц.","Общество с ограниченной ответственностью [ORGANIZATION] [LOCATION] на [OBJECT] проекта [DOCUMENT_NUMBER], д.3, этаж 3, офис 325 [ID] Наименование юридического лица [ORGANIZATION] [PERSON] Запрос на подписание баланса на [LOCATION] Уважаемая [PERSON]! В связи с проведением необходимых мероприятий, во избежание сбоя в оказании услуг по обслуживанию [ORGANIZATION] прошу Вас согласовать подписание баланса [FINANCIAL_DATA] на следующих объектах: No ПП Объект [PERSON] [FINANCIAL_DATA] [FINANCIAL_DATA] [DATE_TIME] Сообщаем, что при выполнении работ, замена сотрудников происходит не реже одного раза в месяц. Генеральный директор [ORGANIZATION] [PERSON] Информация о компании: [ORGANIZATION] [LOCATION] Тел.: [CONTACT] Информационный центр по вопросам обращения объектов [OBJECT], [OBJECT], [OBJECT] и [OBJECT] [ORGANIZATION] [PERSON] Email: [CONTACT]"
Блок заместителя генерального директора по организационным вопросам,"[ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] [ID] [DOCUMENT_NUMBER] [PERSON] [PERSON] Предмет: О возмещении расходов на проезд по автомагистралям, расположенным на автомагистралях Уважаемые [PERSON]! В период между [ORGANIZATION] и [ORGANIZATION] заключены [DOCUMENT_NUMBER] договоры о предоставлении услуг по комплексному обслуживанию объектов социальной и жилой инфраструктуры на [OBJECT]; [DOCUMENT_NUMBER] договоры о предоставлении услуг по комплексному обслуживанию объектов социальной и жилой инфраструктуры на [OBJECT] и [OBJECT]. Согласно приказу [ORGANIZATION] [DATE_TIME] с [DATE_TIME] будет взиматься плата за проезд по автомагистралям, расположенным на объектах [ORGANIZATION]. Информируем Вас, что при проведении конкурсного отбора эти расходы не были включены в расчет при формировании ценового предложения. [ORGANIZATION] В рамках обязательств по договору Компания использует легковые грузовики и грузовики. [CONTACT] <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <26> <","[ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] [ID] [DOCUMENT_NUMBER] [PERSON] [PERSON] Тема: О компенсации расходов платы за проезд по автомобильным дорогам Уважаемый [PERSON]! Между [ORGANIZATION] и [ORGANIZATION] заключен [DOCUMENT_NUMBER] на оказание услуг по комплексному обслуживанию объектов социально-бытового назначения на [OBJECT]; [DOCUMENT_NUMBER] на оказание услуг по комплексному обслуживанию объектов социально-бытового назначения на [OBJECT] и [OBJECT]. Согласно приказу [ORGANIZATION] [DATE_TIME] с [DATE_TIME] будет взиматься плата за проезд по автомобильным дорогам, расположенными на объектах [ORGANIZATION]. Сообщаем, что при проведении конкурентного отбора данные затраты не были включены в расчет при формировании ценового предложения. [ORGANIZATION] в рамках исполнения обязательств по Договорам использует грузовой и легковой автотранспорт в том числе и субподрядные организации, осуществляющие поставку продуктов и ТМЦ. Просим Вас обозначить порядок компенсации затрат за оплату проезда транспортных средств. Генеральный директор [ORGANIZATION] [PERSON] Исполнитель: [PERSON] [CONTACT] Email. [CONTACT] Инициатор: [PERSON] Email. [CONTACT]"
Блок заместителя генерального директора по организационным вопросам,"Офисно-государственный комплекс [OBJECT], с.15 p/o [LOCATION], [DATE_TIME] Телефон: [CONTACT] Факс: [CONTACT] Электронная почта: [CONTACT] Выпуск No [DOCUMENT_NUMBER] от [DATE_TIME] Заместителю Генерального директора по организационным вопросам [ORGANIZATION] [PERSON] Уважаемый [PERSON] Между [ORGANIZATION] (далее Заказчик) и [ORGANIZATION] (далее Исполнитель) заключен Договор No [DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по комплексному обслуживанию объектов общественного и повседневного пользования на группе областей проекта [PROJECT] (далее Договор). [ORGANIZATION] Выражает признательность за партнерство между нашими организациями и операторами ОППО за ваше сотрудничество.","Офисно-общественный комплекс [OBJECT], стр.15 п/о [LOCATION], [DATE_TIME] Тел.: [CONTACT] Факс: [CONTACT] E-mail: [CONTACT] Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] Заместителю генерального директора по организационным вопросам [ORGANIZATION] [PERSON] Уважаемый [PERSON]! Между [ORGANIZATION] (далее Заказчик) и [ORGANIZATION] (далее Исполнитель) заключен Договор No [DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по комплексному обслуживанию объектов социально-бытового назначения на группе месторождений проекта [PROJECT] (далее – Договор). [ORGANIZATION] выражает признательность за партнерские отношения между нашими организациями и благодарит Вас за сотрудничество. В рамках исполнения обязательств по заключенному договору просим Вас предоставить следующую документацию по объекту [OBJECT]: - технические условия на технологическое присоединение - проект электроустановки, согласованный в установленном порядке - приемо-сдаточную документацию, протоколы, акты испытаний (тех. отчет) - акт разграничения балансовой принадлежности и эксплуатационной ответственности сторон. Запрашиваемую документацию просим предоставить в срок до [DATE_TIME]. Надеемся на Ваше понимание и дальнейшее плодотворное взаимовыгодное сотрудничество. Мы всегда готовы ответить на все возникшие вопросы. Генеральный директор [PERSON] Бесплатная горячая линия: [CONTACT] *662 – с мобильных [CONTACT] ИНН [ID] КПП [ID] ОКПО [ID] ОРГН [ID] ISO 9001 ISO 14001 OHSAS 18001 ISO 22000"
Блок заместителя генерального директора по организационным вопросам,"[ORGANIZATION] Генеральному директору улицы [PERSON] [LOCATION], дома [NUMBER], города [LOCATION], [COUNTRY], [POSTAL_CODE] Телефон: [CONTACT], факс: [CONTACT] электронная почта: [CONTACT], www.[WEBSITE] [ID] [DATE_TIME] No [DOCUMENT_NUMBER] No [ORGANIZATION] Дорогой [PERSON]! В целях координации работы по организационной деятельности, а также по долгосрочным операторским контрактам No [DOCUMENT_NUMBER] [DATE_TIME] и No [DOCUMENT_NUMBER] [DATE_TIME] прошу организовать деловую переписку в режиме одного окна и все обращения с [ORGANIZATION] по адресу [ORGANIZATION] на мое имя.","Общество с ограниченной ответственностью [ORGANIZATION] Генеральному директору [PERSON] улица [LOCATION], дом [NUMBER], город [LOCATION], [COUNTRY], [POSTAL_CODE] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT], www.[WEBSITE] [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] Уважаемый [PERSON]! С целью координации работ по организационным мероприятиям, а также по долгосрочным операторским договорам No [DOCUMENT_NUMBER] от [DATE_TIME] и No [DOCUMENT_NUMBER] от [DATE_TIME], прошу Вас организовать деловую переписку в режиме одного окна и все обращения от [ORGANIZATION] в адрес [ORGANIZATION] направлять на мое имя. Заместитель генерального директора по добыче и подготовке газового конденсата, нефти [PERSON] [PERSON] ([CONTACT])"
Блок заместителя генерального директора по организационным вопросам,Предмет: Готовность предоставлять услуги Уважаемый [PERSON]! В ответ на письмо от [DATE_TIME] Готовность предоставлять услуги Запрос [ORGANIZATION] сообщает о готовности продолжать предоставлять услуги и заключать дополнительные соглашения о переносе объема услуг гарантийного периода в гарантийный период на действующих условиях следующих договоров: 1. Договор No [DOCUMENT_NUMBER] от [DATE_TIME] о предоставлении услуг комплексных услуг объектов социальной жизни в [OBJECT]; 2. Договор No [DOCUMENT_NUMBER] от [DATE_TIME] о предоставлении услуг комплексных услуг объектов социальной жизни в <15; 3. Договор No [DOCUMENT_NUMBER] о предоставлении услуг комплексных услуг объектов социальной жизни в <21; 3. Электронная почта No [PERSON] Исполнительного директора Департамента услуг социальных услуг в <20;18 <23> Исполнительного директора Департамента услуг социальной жизни в <20;18 <20 <23> Исполнительного директора Департамента социальных услуг в <20 <20;18 <20 <20 <20 <20;20 <20 <20 <20 [PERSON] Исполнительного директора Департамента социальных услуг в <20 <20 <20 <20 <20 <20;20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20> <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <,[ORGANIZATION] [ID] Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] на начальную управление социального-бытового обеспечения [ORGANIZATION] [PERSON] Тема: О готовности оказания услуг Уважаемая [PERSON]! В ответ на письмо Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] Запрос о готовности оказания услуг [ORGANIZATION] сообщает о готовности на продолжение оказания услуг и заключения дополнительных соглашений на перевод объема услуг гарантийного периода в гарантийный период в действующих условиях расценках по следующим договорам: 1. Договор No [DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по комплексному обслуживанию объектов социально-бытового назначения на [OBJECT]; 2. Договор No [DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по комплексному обслуживанию объектов социально-бытового назначения на [OBJECT]; 3. Договор No [DOCUMENT_NUMBER] от [DATE_TIME] на оказание услуг по комплексному обслуживанию объектов социально-бытового назначения на [OBJECT]. Генеральный директор [ORGANIZATION] Исполнитель: [PERSON] Тел. [CONTACT] Email. [CONTACT] Инициатор: [PERSON] Руководитель департамента Тел. [CONTACT]
Блок заместителя генерального директора по организационным вопросам,"[ORGANIZATION] 119602, [LOCATION], n.e.r. [MUNICIPAL_DISTRICT] [STREET], [NEIGHBORHOOD], d. 3, этаж 3, кабинет 325 [ORGANIZATION_ID] [TAX_ID] Выпуск No [DOCUMENT_NUMBER] от [DATE_TIME] на выпуск No [DOCUMENT_NUMBER] от [DATE_TIME] Предмет: Об отмене штрафа заместителю генерального директора по организационным вопросам [ORGANIZATION] [PERSON] Дорогой [PERSON]! В ответ на выпуск No [DOCUMENT_NUMBER] от [DATE_TIME] О уплате штрафа [ORGANIZATION] сообщает, что транспортное средство не совершает движения с [DATE_TIME]. Водитель [PERSON] [DATE_TIME] покинул территорию [ORGANIZATION], с этого момента ТК не совершал движений по участку, поскольку директор символа T21 был установлен в Glon T и данные не были переданы в SMA (Тел.","[ORGANIZATION] 119602, [LOCATION], вн.тер. р. [MUNICIPAL_DISTRICT] [STREET], [NEIGHBORHOOD], д. 3, этаж 3, офис 325 [ORGANIZATION_ID] [TAX_ID] Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] на Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] Тема: Об отмене штрафа Заместителю Генерального директора по организационным вопросам [ORGANIZATION] [PERSON] Уважаемый [PERSON]! В ответ на письмо Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] Об уплате штрафа [ORGANIZATION] сообщает, что транспортное средство не совершает передвижений с [DATE_TIME]. Водитель [PERSON] [DATE_TIME] выезжал с территории [ORGANIZATION], с этого времени ТС не совершало передвижений по участку, т.к. в Глонасс установлена симкарта [PHONE_PROVIDER] и данные в СМА не передавались (на участке только [PHONE_PROVIDER]), поэтому не было возможности заказать продление пропуска. В данный момент отправлены симкарты [PHONE_PROVIDER] и оборудование для переустановки Глонасс авиадоставкой в [CITY]. Пришло уведомление о получении посылки для [ORGANIZATION]. Забираем [DATE_TIME]. Ожидаем прибытие сотрудников для настройки оборудования до [DATE_TIME] откорректируем оборудование. В связи с вышеизложенным просим Вас не применять штрафные санкции в размере [FINANCIAL_DATA]. [PERSON] Исполнитель: [PERSON] Тел. [CONTACT] Email. [CONTACT] Инициатор: [PERSON] Директор ОП [ORGANIZATION] Тел. [CONTACT] [PERSON]"
Блок заместителя генерального директора по организационным вопросам,"[ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] [PERSON] [PERSON] Уважаемый [PERSON]! В ответ на письмо г-на Иша No [DOCUMENT_NUMBER] от [DATE_TIME], мы повторно прилагаем: * Двухнедельное меню в соответствии с требованиями Соглашения No [DOCUMENT_NUMBER] от [DATE_TIME] * Карты расчета; * Универсальные документы доставки (УДП) для продуктов питания. На основании прилагаемых документов, горячее блюдо из трех блюд (завтрак, обед, ужин) не превышает установленный Клиентом лимит на человека в день на комплект блюд ([FINANCIAL_DATA]), и отмечаем, что в Соглашении No [DOCUMENT_NUMBER] от [DATE_TIME] отсутствует информация с сильным налоговым воздействием на территорию Соглашения No <8> от <9> * * Карты расчета; Универсальные документы доставки (УДП) для продуктов питания.","[ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] [PERSON] [PERSON] Уважаемый [PERSON]! В ответ на письмо Исх.. No [DOCUMENT_NUMBER] от [DATE_TIME] повторно прилагаем: * Двухнедельное меню в соответствии с требованиями Договора No [DOCUMENT_NUMBER] от [DATE_TIME] * Калькуляционные карты; * Универсальные передаточные документы (УПД) на продукты питания. На основании прилагаемых документов трехразовое горячее питание (завтрак, обед, ужин) не превышает сумму, установленную Заказчиком лимита на одного человека в сутки на комплексный набор блюд ([FINANCIAL_DATA]), и обращаем внимание что в Договоре No [DOCUMENT_NUMBER] от [DATE_TIME] отсутствует информация с учетом налога данная сумма или без. В нашем случае стоимость блюда, согласно расчету цены в калькуляционной карточке, указана без учета НДС. Организовать горячее питание (завтрак, обед, ужин) с лимитом [FINANCIAL_DATA] с учетом НДС на одного человека в сутки на комплексный набор блюд возможно только при исключении дорогого сырья (говядина, индейка, грибы, треска), что сильно повлияет на состав меню, и как следствие повлечет за собой снижение качества наполнения меню для питания сотрудников Заказчика и отклонения от Технического Задания. На основании вышеизложенного повторно просим согласовать на площадках [OBJECT] и [OBJECT] [ORGANIZATION] установление лимита на питание (завтрак, обед, ужин) на одного человека в сутки [FINANCIAL_DATA] с учетом НДС. Надеемся на понимание и дальнейшее взаимовыгодное сотрудничество! Приложения: - Двухнедельное меню в соответствии - Калькуляционные карты; - Универсальные передаточные документы (УПД) на продукты питания. [PERSON]"
Блок заместителя генерального директора по организационным вопросам,"[ORGANIZATION] общество с ограниченной ответственностью [ID] расположено по адресу [LOCATION] и имеет ИНН/СПП [ID]/[ID], ОГРН [DOCUMENT_NUMBER]. Р/с [FINANCIAL_DATA] Западно-Сибирский филиал [ORGANIZATION] к/с [FINANCIAL_DATA] БИК [ID] diet.No [DOCUMENT_NUMBER] Заместителю Генерального директора по организационным вопросам [ORGANIZATION] [PERSON] после рассмотрения Вашего обращения diet. No [DOCUMENT_NUMBER] от [DATE_TIME], [ORGANIZATION] соглашается на устройство оконных конструкций, а именно витражных окон со стеклянным комплектом и дополнительными частями в количестве [FINANCIAL_DATA] rig. В фасадной части здания [OBJECT] непосредственно со сторон [LOCATION] и [LOCATION] при условии выполнения следующих требований: 1.","[ORGANIZATION] общество с ограниченной ответственностью [ID] находится по адресу [LOCATION] и имеет ИНН/КПП [ID]/[ID], ОГРН [DOCUMENT_NUMBER]. Р/с [FINANCIAL_DATA] Западно-Сибирское отделение [ORGANIZATION] к/с [FINANCIAL_DATA] БИК [ID] исх.No [DOCUMENT_NUMBER] Заместителю генерального директора По организационным вопросам [ORGANIZATION] [PERSON] рассмотрев Ваше обращение исх. No[DOCUMENT_NUMBER] от [DATE_TIME], [ORGANIZATION] согласовывает устройство оконных конструкций, а именно, витражных створок с стеклопакетом и дополнительным ригелем в количестве [FINANCIAL_DATA] шт. в фасадной части витража здания [OBJECT] со стороны [LOCATION] и [LOCATION] с условием выполнения следующих требований: 1. Установка оконных конструкций за счет [PERSON] без компенсации со стороны [PERSON]. 2. Устанавливаемые оконные конструкции являются неотъемлемыми улучшениями и при расторжении договора компенсации не подлежат. 3. Направить в адрес [PERSON] план с указанием мест установки витражных створок, а также предварительно согласовать цветовые характеристики в соответствии с паспортом фасада. 4. [PERSON] обеспечивает контроль в части гидроизоляции устанавливаемых оконных конструкций. 5. Претензии, возникшие к качеству установленных оконных конструкций, [PERSON] в рамках гарантийных обязательств предъявляет непосредственно к исполнителю работ. Представитель по доверенности [PERSON]"
Блок заместителя генерального директора по организационным вопросам,"[ORGANIZATION] TRANSGAS TOMSK Общество с ограниченной ответственностью [ORGANIZATION] TRANSGAS TOMSK (ОАО [ORGANIZATION] TRANSGAS TOMSK) В качестве генерального директора ОАО [ORGANIZATION] Gazpromneft-Zapolarje [PERSON] Fedorov [LOCATION] Ltd., d. 9, g. [LOCATION], Российская Федерация, [DATE_TIME] тел: [CONTACT], факс: [CONTACT] электронная почта: [CONTACT], www.[LOCATION] OKPO [ID]. OGRN [ID], INN [ID], KPP [ID] Приложение [DATE_TIME] No [DOCUMENT_NUMBER] к приложению No [ORGANIZATION] Организации соревнований по бадминтону.","[ORGANIZATION] ТРАНСГАЗ ТОМСК Общество с ограниченной ответственностью [ORGANIZATION] ТРАНСГАЗ ТОМСК (ООО [ORGANIZATION] ТРАНСГАЗ ТОМСК) Врио генерального директора ООО [ORGANIZATION] Газпромнефть-Заполярье [PERSON] Федорову [LOCATION] пр., д. 9, г. [LOCATION], Российская Федерация, [DATE_TIME] тел.: [CONTACT], факс: [CONTACT] e-mail: [CONTACT], www.[LOCATION] ОКПО [ID]. ОГРН [ID], ИНН [ID], КПП [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] проведении отраслевых соревнований [ORGANIZATION] Уважаемый [PERSON]! В рамках реализации утвержденной Программы развития корпоративного спорта в [ORGANIZATION], его дочерних обществах и организациях, а также в соответствии с календарем проведения спортивно-массовых мероприятий [ORGANIZATION] приглашаем Вас и Ваш коллектив принять участие в отраслевых соревнованиях по следующим видам спорта: 1. Бадминтон. 2. Гиревой спорт. 3. Волейбол (ветераны). 4. Многофункциональное многоборье (кроссфит). Условия участия изложены в Положениях о проведении турниров (прилагаются). Заявку необходимо направить в заданные сроки, по адресу, указанному в Положениях о проведении турниров. По вопросам, связанным с организацией данных соревнований, можно обратиться к заместителю начальника спортивного комплекса [ORGANIZATION] [PERSON] (тел. [CONTACT], электронная почта: [CONTACT]), а также к инженеру спортивного комплекса [PERSON] (тел. [CONTACT], электронная почта: [CONTACT]). Приложение: 1. Положение о проведении турнира по кроссфиту на 9 л. в 1 экз. Положение о проведении турнира по бадминтону на 4 л. Положение о проведении турнира по гиревому спорту на 4 л. Положение о проведении соревнований по волейболу на 3 л. [PERSON] [PERSON] ([CONTACT])"
Блок заместителя генерального директора по организационным вопросам,"[PERSON] ПЕТРОЛЬНОЕ ДЕВЕЛОПМЕНТЬ INFO@[ORGANIZATION] WWW[ORGANIZATION] [LOCATION] [DATE_TIME] Выпуск No [DOCUMENT_NUMBER] Генеральный директор [ORGANIZATION] [PERSON] Дорогие [PERSON]! С [DATE_TIME] по [DATE_TIME] 11> состоится [OBJECT] масштабное мероприятие, которое соберет профессионалов, спортсменов и любителей активного образа жизни. Мы рады пригласить вас и вашу команду на престижный турнир по затягиванию веревки, который состоится [DATE_TIME] на [OBJECT]. Это отличная возможность не только продемонстрировать силу и командный дух, но и укрепить взаимодействие между командами, обменяться о команде и установить новые деловые контакты в неформальной, дружественной атмосфере.","[PERSON] ПЕТРОЛЕУМ ДЕВЕЛОПМЕНТ INFO@[ORGANIZATION] WWW.[ORGANIZATION] [LOCATION] [DATE_TIME] Исх. No [DOCUMENT_NUMBER] Генеральному директору [ORGANIZATION] [PERSON] Уважаемый [PERSON]! С [DATE_TIME] по [DATE_TIME] на [OBJECT] пройдут [OBJECT] масштабное событие, объединяющее профессионалов, спортсменов и ценителей активного образа жизни. Мы рады пригласить вас и вашу команду на престижный турнир по перетягиванию каната, который состоится [DATE_TIME] на [OBJECT]. Это отличная возможность не только продемонстрировать силу и командный дух, но и укрепить взаимодействие между коллективами, обменяться опытом и наладить новые деловые связи в неформальной, дружеской атмосфере. Программа мероприятия: - Турнир по перетягиванию каната (весовая категория команды [FINANCIAL_DATA], [FINANCIAL_DATA] участников). - Торжественная церемония закрытия с награждением победителей. Масштаб события: - Более [FINANCIAL_DATA] участников - [FINANCIAL_DATA] компаний Условия участия: Для регистрации команды необходимо до [DATE_TIME] направить заполненную заявку (форма Приложения 2) на электронный адрес: [CONTACT]. Контактное лицо: [PERSON], [PERSON], тел.: [CONTACT]. Ждем вашу команду для участия в этом захватывающем соревновании! ПРИЛОЖЕНИЕ 1 – Положение о проведении турнира по перетягиванию каната на [OBJECT]. ПРИЛОЖЕНИЕ 2 – Заявка на турнир. С уважением, [PERSON] Генеральный директор [ORGANIZATION] Исп: [PERSON] тел. [CONTACT]"
