text,label
"МИНИСТЕРСТВО ПРИРОДНЫХ РЕСУРСОВ И ЭКОЛОГИИ РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОЕ АГЕНТСТВО ПО НЕДРОПОЛЬЗОВАНИЮ ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОСУДАРСТВЕННАЯ КОМИССИЯ ПО ЗАПАСАМ ПОЛЕЗНЫХ ИСКОПАЕМЫХ (ФБУ ГКЗ) [LOCATION] тел./факс [CONTACT]/[CONTACT]. E-mail: [CONTACT] ОКПО [ID], ОГРН [ID] ИНН/КПП [ID]/[ID] [DATE_TIME] No [DOCUMENT_NUMBER] По списку на No от Уважаемые коллеги! В связи с необходимостью внесения изменений в организационный план, информируем Вас о том, что проведение форума Технологический день [ORGANIZATION], ранее запланированного на [DATE_TIME], переносится на I квартал [DATE_TIME]. Мы выражаем признательность за Ваш интерес к участию в форуме и уверены, что предстоящее мероприятие будет способствовать укреплению сотрудничества в сфере недропользования и геологоразведки между Российской Федерацией и Республикой [COUNTRY]. Новую дату и место проведения форума Технологический день [ORGANIZATION] мы сообщим Вам дополнительным письмом. Генеральный директор [PERSON] Исп.: [PERSON] [CONTACT]",Блок директора по проектированию
"[ORGANIZATION] [LOCATION] [CONTACT] [DATE_TIME] [DOCUMENT_NUMBER] на [DOCUMENT_NUMBER] от [ORGANIZATION] рассмотрении [PROJECT] Уважаемый [PERSON]! Направляю Вам [PROJECT], выполненный в пределах двух участков недр (далее – [OBJECT]): - [OBJECT]: лицензия [LICENSE] от [DATE_TIME] сроком до [DATE_TIME] выдана [ORGANIZATION]; представленный в адрес [ORGANIZATION] письмом [ORGANIZATION] от [DATE_TIME] [DOCUMENT_NUMBER] (приложение [DOCUMENT_NUMBER]). Прошу Вас организовать рассмотрение [PROJECT], определить замечания и предложения и в соответствии с приложением [DOCUMENT_NUMBER] представить в адрес [ORGANIZATION] в срок до [DATE_TIME]. Приложение: 1. По тексту на 1 л. в 1 экз.; 2. Архив в 1 экз.; 3. Форма предоставления замечаний на 1 л. в 1 экз. [PERSON] – [PERSON] [PERSON] [CONTACT] [DOCUMENT] ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат: [ID] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME]",Блок директора по проектированию
"[ORGANIZATION] [ORGANIZATION] – [ORGANIZATION] ([ORGANIZATION]) ЗАМЕСТИТЕЛЬ ГЕНЕРАЛЬНОГО ДИРЕКТОРА Директору по геологии и разработке, концептуальному проектированию – главному геологу [ORGANIZATION] [PERSON] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] направлении отчетных материалов Уважаемый [PERSON]! Направляем отчетные материалы по договору от [DATE_TIME] No [DOCUMENT_NUMBER] на оказание услуг по авторскому надзору за реализацией проектных решений по разработке участка ЗА Ачимовских отложений [OBJECT] НГКМ, нефтяной оторочки Ботуобинского горизонта Чаяндинского НГКМ, нефтяных оторочек Ен-Яхинского НГКМ, Песцового НКГМ, объекта IX Западно-Таркосалинского НГКМ, нефтяной оторочки Филипповской залежи Оренбургского НГКМ, неокомских отложений Уренгойского НГКМ (нефтяные оторочки II-V об (13 пластов) и нефтегазоконденсатные залежи в районе участка ЗА II-V об (5 пластов), неоком- юрских залежей Бованенковского НГКМ и Харасавэйского ГКМ для [ORGANIZATION] по этапу 4 Анализ текущего состояния разработки объекта IX Западно-Таркосалинского НГКМ (по состоянию на [DATE_TIME], включая период с [DATE_TIME] по [DATE_TIME]). Материалы направлены [DATE_TIME] на электронную почту в адрес руководителя программ по поддержке и управлению изменениями [ORGANIZATION] [PERSON] ([CONTACT]). Заместитель Генерального директора по науке [PERSON] [PERSON] ([CONTACT]) [CONTACT]",Блок директора по проектированию
"[ORGANIZATION] [ORGANIZATION] – [ORGANIZATION] ([ORGANIZATION]) ЗАМЕСТИТЕЛЬ ГЕНЕРАЛЬНОГО ДИРЕКТОРА Директору по геологии и разработке, концептуальному проектированию – главному геологу [ORGANIZATION] [PERSON] пр-кт [LOCATION], д. [NUMBER], литер [LETTER], помещ. [NUMBER], офис [NUMBER], вн. тер. [LOCATION], [DATE_TIME] тел.: [CONTACT] e-mail: [CONTACT], http://[DOMAIN] [ID] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [ORGANIZATION] о [ACTION] Уважаемый [PERSON]! [ORGANIZATION] рассмотрело предложение от [DATE_TIME] No [DOCUMENT_NUMBER] и сообщаем о готовности выполнить камеральные работы по поиску пресных и минерализованных подземных вод в пределах разработки нефтяных оторочек на [LOCATION] и [LOCATION] в части: сбора информации по геолого-гидрогеологическим условиям работ, интерпретации и анализа материалов полевых и лабораторных работ, оценки производительности проектных водозаборных скважин и формированию предложений по поиску воды. Создание 3Д гидрогеологической модели не представляется возможным в виду отсутствия необходимой информации в достаточном объеме. Работы могут быть выполнены в рамках договорных отношений в [DATE_TIME]. Стоимость работ составит [FINANCIAL_DATA] (в том числе НДС [NUMBER]). Заместитель Генерального директора по науке [PERSON] [PERSON] [CONTACT] ([CONTACT])",Блок директора по проектированию
"[ORGANIZATION] НЕФТЬ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИНЖЕНЕРНО-ТЕХНОЛОГИЧЕСКИЙ СЕРВИС ([ORGANIZATION]) Юридический адрес: [LOCATION] ОГРН [ID], ИНН [ID] Адрес для корреспонденции: [LOCATION] Тел.: [CONTACT] e-mail: [CONTACT] Директору по геологии и разработке, концептуальному проектированию - главному геологу [ORGANIZATION] [PERSON] на [DOCUMENT_NUMBER] от [DATE_TIME] О заключении дополнительного соглашения Уважаемый [PERSON]! [ORGANIZATION] выражает свое согласие на заключение дополнительного соглашения No 1 к договору от [DATE_TIME] No [DOCUMENT_NUMBER] в связи с индексацией единичных расценок и увеличением общей суммы договора на [FINANCIAL_DATA] без учета НДС, с переносом оказания услуг на [DATE_TIME], без изменения объема по договору. Надеюсь на плодотворное и долгосрочное сотрудничество. С уважением, Генеральный директор [PERSON] [PERSON] [CONTACT]",Блок директора по проектированию
"Энергия нефтегазового сервиса Юр. адрес: [LOCATION] Почт. адрес: [LOCATION] Тел.: [CONTACT] E-mail: [CONTACT] www.[ORGANIZATION] No [DOCUMENT_NUMBER] от [DATE_TIME] Директору по реологии и разработке [ORGANIZATION] [PERSON] О предоставлении фактических схем НДС по КП [DOCUMENT_NUMBER], [DOCUMENT_NUMBER], [DOCUMENT_NUMBER] [OBJECT] Уважаемый [PERSON]! В рамках заключенного Договора No[DOCUMENT_NUMBER] от [DATE_TIME] на бурение эксплуатационных скважин по суточной ставке, между [ORGANIZATION] и [ORGANIZATION], выполняются работы по строительству скважин на кустовых площадках [DOCUMENT_NUMBER], [DOCUMENT_NUMBER], [DOCUMENT_NUMBER] [OBJECT]. С целью предотвращения отклонений от проектной линии направления движения станка (далее НДС) при передвижках внутри кустовых площадок, просим Вас направить в наш адрес фактическую схему отклонений от оси НДС после каждой передвижки на кустовых площадках [DOCUMENT_NUMBER], [DOCUMENT_NUMBER], [DOCUMENT_NUMBER]. Также просим Вас дать указание соответствующим службам включать в маркшейдерские справки, выдаваемые после каждой передвижки, данные о смещении от проектной линии НДС. Это позволит обеспечить более точный контроль за соблюдением проектных решений и заблаговременно минимизировать риски, связанные с отклонениями от проектной оси НДС. Главный геолог [ORGANIZATION] [PERSON] Исп. [PERSON], Ведущий геолог Тел. [CONTACT] E-mail. [CONTACT]",Блок директора по проектированию
"[ORGANIZATION] [LOCATION] [CONTACT] [WEBSITE] [CONTACT] [DATE_TIME] [DOCUMENT_NUMBER] на [DATE_TIME] [ORGANIZATION] [LOCATION] [DOCUMENT_NUMBER] ИЗВЕЩЕНИЕ [DOCUMENT_NUMBER] о принятии на хранение и о результатах проверки поступившей в [ORGANIZATION] геологической информации о недрах Государственный регистрационный номер: [ID] Лицензия: [ID] Наименование: [DESCRIPTION] Инв.No отчета: [DOCUMENT_NUMBER] Входящий [ORGANIZATION] от [DATE_TIME] [DOCUMENT_NUMBER]. По результатам [NUMBER]-й проверки, поступившая геологическая информация о недрах [ACTION] на постоянное хранение в [ORGANIZATION]. Руководитель [PERSON] [PERSON] Тел: [CONTACT]",Блок директора по проектированию
"МИНИСТЕРСТВО ПРИРОДНЫХ РЕСУРСОВ И ЭКОЛОГИИ РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОЕ АГЕНТСТВО ПО НЕДРОПОЛЬЗОВАНИЮ ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РОСГЕОЛЭКСПЕРТИЗА (ФГКУ РОСГЕОЛЭКСПЕРТИЗА) [LOCATION] [DATE_TIME] No [DOCUMENT_NUMBER] на [DOCUMENT_NUMBER] (Код заявки в ЛКН) от [DATE_TIME] [PERSON] по доверенности [ORGANIZATION] [PERSON] [CONTACT] Уведомление о возврате заявочных материалов [ORGANIZATION] на проведение экспертизы проекта геологического изучения недр (вх. от [DATE_TIME] No [DOCUMENT_NUMBER]) Уважаемый [PERSON]! В соответствии с абз. 2 п. 21 Правил проведения экспертизы проектной документации на осуществление регионального геологического изучения недр, геологического изучения недр, включая поиски и оценку месторождений полезных ископаемых, разведку месторождений полезных ископаемых, утвержденных постановлением Правительства Российской Федерации от [DATE_TIME] No 674 (далее – Правила) ФГКУ Росгеолэкспертиза в адрес [ORGANIZATION] было направлено уведомление от [DATE_TIME] No[DOCUMENT_NUMBER] о необходимости устранения нарушений, допущенных при представлении заявки и прилагаемых к ней документов для проведения экспертизы проектной документации на геологическое изучение недр Проектная документация на осуществление геологического изучения недр, включающего поиски и оценку месторождения песка на участке недр [OBJECT] в [LOCATION] по лицензии на пользование недрами [ID] в связи с нарушением пп. б п. 12 Правил. Вместе с тем [ORGANIZATION] не устранило нарушения, указанные в уведомлении о доработке заявочной документации. На основании вышеизложенного, в соответствии с абз. 5 п. 21 Правил ФГКУ Росгеолэкспертиза уведомляет [ORGANIZATION] о возврате проектной документации Проектная документация на осуществление геологического изучения недр, включающего поиски и оценку месторождения песка на участке недр [OBJECT] в [LOCATION] без проведения экспертизы. При этом в связи с возвратом заявителю проектной документации на геологическое изучение недр по основанию, предусмотренному п. 21 Правил, плата за ее проведение подлежит возврату лицу, внесшему плату, либо учитывается при повторной подаче заявки. Заместитель начальника [OBJECT] ФГКУ Росгеолэкспертиза [PERSON] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат [ID] Владелец [PERSON] Действителен с [DATE_TIME] по [DATE_TIME] [PERSON] Исп. [PERSON] Тел.: [CONTACT] E-mail: [CONTACT]",Блок директора по проектированию
"Генеральному директору [ORGANIZATION] [PERSON] Уважаемый [PERSON]! На нефтяных и газовых активах, находящихся на стадии разработки вопрос вовлечения в разработку остаточных запасов нефти и газа, имеет первостепенное значение, в особенности при сегодняшних нестабильных ценах на углеводороды и необходимости ограничения капитальных затрат на строительство новых скважин или ЗБС. Технология МНК Квад-Нейтрон позволяет измерять ФЕС через несколько (до трех) обсадных колонн. Отличительная особенность данного метода – независимое друг от друга и точное определение эффективной пористости и текущей нефтенасыщенности коллекторов. Учитывая повышенную глубину (радиус) исследования (0.7-1.2 м), метод позволяет геологам получать наиболее достоверное представление о составе жидкости (Кн, Кв) за колонной. При этом практика показала, что точность определения истинного Кн в старых скважинах, где произошло расформирование зоны проникновения, выше, чем во вновь пробуренных стволах, где природный флюид оттеснен фильтратом промывочной жидкости. За последние несколько лет с помощью технологии МНК Квад-Нейтрон нами был наработан определенный опыт по задачам расконсервации старого фонда с рекомендациями перспективных интервалов на освоение. В период проведения работ с технологией МНК Квад-Нейтрон был неоднократно продемонстрирован существенный экономический эффект в сокращении затрат при строительстве скважин для наших основных заказчиков на территории [LOCATION] и [LOCATION]. Некоторые из областей применения данной технологии приведены ниже: - исследования в сложных, нестандартных коллекторах: [OBJECT], [OBJECT], [OBJECT], [OBJECT] и т. п.; - оптимизация сроков строительства пологих и горизонтальных скважин; - сокращения времени строительства скважин методом ЗБС; - надежное определение и мониторинг газо/водо/нефтяных контактов; - выделение пропущенных продуктивных интервалов; - определение ФЕС в обсаженных поисково-разведочных скважинах с целью их переосвоения либо для уточнения насыщения перед испытанием; - исследования ФЕС в интервалах без ГИС по причине осложнений при бурении; - мониторинг ГРП с использованием добавки карбида (В4С) бора в проппант; - комплексирование двух типов нейтронного взаимодействия с породой от единого источника и достижения радиуса исследования 0.7-1.2 м; - технология МНК Квад-Нейтрон позволяет с уверенностью определять насыщение через несколько колонн; - малый внешний диаметр прибора (43 мм) позволяет осуществлять его спуск в скважину и получать данные через НКТ; - наличие опции автономной записи (прибор имеет свой модуль батарей) позволяет осуществлять доставку прибора в горизонтальный участки скважин будучи установлен внутри колонны боровой компоновки, НКТ или на ГНКТ, при этом снижая риски оставления прибора в скважине. Метод полностью самодостаточен, поскольку требует минимально входной информации от заказчика, и универсален в способах доставки на забой (кабель, буровой инструмент, проволока, НКТ). ГНКТ, скважинный трактор и т. д.). Мы неоднократно проводили ряд расчетов по эффективности проведения ГИС методом МНК Квад-Нейтрон в целях достижения максимального экономического эффекта для наших заказчиков, а именно: ○ сокращения срока строительства скважин и ввода их в добычу; ○ снижения рисков при ГИС горизонтального интервала и спуске хвостовика; ○ более четкого понимания ФЕС вдоль исследуемого интервала и дальнейшего мониторинга насыщения в горизонтальной секции по мере эксплуатации; Технология МНК Квад-Нейтрон на сегодняшний момент остается отличным инструментом для решения основных петрофизических задач что, в свою очередь, позволит уменьшить затраты и в то же время увеличить добычу, осуществить прирост запасов УВ для недропользователя. Ориентировочная стоимость работы с МНК Квад-Нейтрон будет зависеть от поставленной задачи, объема исследований, методов доставки прибора на забой (кабель, буровой инструмент, НКТ, гибкий НКТ, трактор и т. При вашей заинтересованности предлагаем Вам провести очное рабочее совещания или ВКС с презентацией по возможному применению технологии и совместных работ на принадлежащих обществу месторождениях. Приложение No1 – ознакомительная брошюра МНК Квад-Нейтрон С уважением, Управляющий [ORGANIZATION] Плугин [PERSON]",Блок директора по проектированию
"[ORGANIZATION] Заместителю генерального директора по науке [ORGANIZATION] [PERSON] Директору по геологии и разработке, концептуальному проектированию – главному геологу [ORGANIZATION] [PERSON] О передачи кернового материала по Верхневилюганскому НГКМ Уважаемый [PERSON]! Рассмотрев запрос [ORGANIZATION] (письмо No [DOCUMENT_NUMBER] от [DATE_TIME]), не возражаю против передачи из Московского центра исследований пластовых флюидов [ORGANIZATION] в исследовательский центр [OBJECT] необходимых для проведения исследований образцов кернового материала с пластов юрского горизонта – не более [FINANCIAL_DATA] образцов керна размером [FINANCIAL_DATA] мм. Приложение 1. Копия письма [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER] на [FINANCIAL_DATA] л. в [FINANCIAL_DATA] экз.; 2. Предварительная программа исследований на [FINANCIAL_DATA] л. в [FINANCIAL_DATA] экз. Заместитель генерального директора – главный геолог [PERSON] [PERSON] [ID] ДОКУМЕНТ ПОДПИСАН ЭЛЕКТРОННОЙ ПОДПИСЬЮ Сертификат: [ID] Владелец: [PERSON] Действителен: с [DATE_TIME] по [DATE_TIME]",Блок директора по проектированию
