label,text
Блок заместителя генерального директора по организационным вопросам,"Тема: О компенсации расходов на оплату дорожных сборов

Уважаемый(ая) [Имя получателя],

Между компаниями [Компания A] и [Компания B] заключены следующие договоры:
*   [Договор 1] на комплексное обслуживание социальных и коммунальных объектов, расположенных в [Местоположение 1];
*   [Договор 2] на комплексное обслуживание социальных и коммунальных объектов, расположенных в [Местоположение 2] и [Местоположение 3].

Согласно приказу № [Номер приказа] от [Дата приказа], с [Дата начала] на дорогах, расположенных на территории вышеуказанных объектов, будет взиматься плата за проезд транспортных средств.

Обращаем ваше внимание, что эти расходы не были учтены при расчете стоимости при подготовке первоначальных предложений в ходе конкурсного отбора.

Компания [Компания A], в соответствии со своими обязательствами по договорам, использует как коммерческий, так и пассажирский транспорт, включая субподрядчиков, осуществляющих доставку товаров и материалов.

Просим вас уточнить порядок компенсации расходов, связанных с оплатой дорожных сборов.

С уважением,

[Имя генерального директора]
[Должность]
[Название компании]
[Контактная информация]

Инициатор:
[Имя инициатора]
[Контактная информация]"
Блок заместителя генерального директора по организационным вопросам,"Офис и общественный комплекс, здание 0, секция 15, офис [LOCATION], [DATE_TIME]. Телефон: [CONTACT]. Факс: [CONTACT]. Электронная почта: [CONTACT]. Исходящий номер: [DOCUMENT_NUMBER]. Дата: [DATE_TIME]. Кому: Заместителю генерального директора по организационным вопросам [ORGANIZATION] [PERSON]. Уважаемый(ая) [PERSON], Мы, [ORGANIZATION] (далее именуемые ""Заказчик""), и [ORGANIZATION] (далее именуемые ""Исполнитель""), заключили Договор № [DOCUMENT_NUMBER] от [DATE_TIME] о предоставлении комплексных услуг для объектов социального и бытового назначения в рамках проекта [PROJECT] (далее именуемый ""Договор""). [ORGANIZATION] выражает благодарность за партнерство между нашими организациями и благодарит вас за сотрудничество. В соответствии с нашими обязательствами, предусмотренными вышеупомянутым договором, просим вас предоставить следующую документацию для объекта, расположенного по адресу: [OBJECT]:
- Технические условия подключения к электросети.
- Проект электромонтажных работ, утвержденный в установленном порядке.
- Документы, подтверждающие приемку и передачу объекта, протоколы испытаний и технические отчеты.
- Акт о разграничении прав собственности и оперативной ответственности между сторонами.
Просим вас предоставить запрошенную документацию до [DATE_TIME]. Мы надеемся на ваше понимание и рассчитываем на дальнейшее взаимовыгодное сотрудничество. Мы всегда готовы ответить на любые ваши вопросы.
С уважением,
Генеральный директор [PERSON].
Бесплатная горячая линия: [CONTACT] *662 (с мобильных телефонов).
Идентификационный номер налогоплательщика (ИНН): [ID].
Код подразделения (КПП): [ID].
Номер регистрации компании (ОКПО): [ID].
Номер регистрации организации (ОГРН): [ID].
ISO 9001, ISO 14001, OHSAS 18001, ISO 22000."
Блок заместителя генерального директора по организационным вопросам,"Общество с ограниченной ответственностью
Кому: Генеральному директору
Адрес: [LOCATION], здание [NUMBER], город [LOCATION], [COUNTRY], [POSTAL_CODE]
Телефон: [CONTACT], факс: [CONTACT]
Электронная почта: [CONTACT], веб-сайт: www.[WEBSITE]
[ID] [DATE_TIME]
Номер [DOCUMENT_NUMBER], дата: [ORGANIZATION]
Уважаемый(ая) [PERSON],

Для координации работы по организационным вопросам, а также по долгосрочным договорам о сотрудничестве № [DOCUMENT_NUMBER] от [DATE_TIME] и № [DOCUMENT_NUMBER] от [DATE_TIME], прошу вас организовать эффективный процесс коммуникации. Пожалуйста, направляйте всю корреспонденцию от [ORGANIZATION] до [ORGANIZATION] моему вниманию.

Заместитель генерального директора по газоконденсатному, нефтедобывающему и нефтеперерабатывающему направлениям
[PERSON] [PERSON] ([CONTACT])"
Блок заместителя генерального директора по организационным вопросам,"[ORGANIZATION] [ID] Исх. № [DOCUMENT_NUMBER] от [DATE_TIME] в Отдел социальных и бытовых услуг [ORGANIZATION] [PERSON] Тема: О предоставлении услуг. Уважаемый(ая) [PERSON], В ответ на ваше письмо № [DOCUMENT_NUMBER] от [DATE_TIME], касающееся предоставления услуг, настоящим подтверждаем нашу готовность продолжать предоставление услуг и заключать дополнительные соглашения для расширения спектра услуг в течение гарантийного срока, на существующих условиях и по действующим ценам, по следующим договорам: 1. Договор № [DOCUMENT_NUMBER] от [DATE_TIME] о предоставлении комплексных услуг для социальных и бытовых объектов, расположенных по адресу: [OBJECT]; 2. Договор № [DOCUMENT_NUMBER] от [DATE_TIME] о предоставлении комплексных услуг для социальных и бытовых объектов, расположенных по адресу: [OBJECT]; 3. Договор № [DOCUMENT_NUMBER] от [DATE_TIME] о предоставлении комплексных услуг для социальных и бытовых объектов, расположенных по адресу: [OBJECT]. С уважением, [ORGANIZATION] Генеральный директор. Поставщик услуг: [PERSON] Телефон: [CONTACT] Электронная почта: [CONTACT] Инициатор: [PERSON] Начальник отдела. Телефон: [CONTACT]"
Блок заместителя генерального директора по организационным вопросам,"Тема: Относительно вашего письма № [DOCUMENT_NUMBER] от [DATE_TIME]

Уважаемый(ая) [PERSON],

В ответ на ваше письмо № <6> от <7>, мы прилагаем следующие документы:

*   Двухнедельное меню в соответствии с требованиями контракта № [DOCUMENT_NUMBER] от [DATE_TIME].
*   Сметные расчеты.
*   Универсальные транспортные документы (УТД) на продукты питания.

На основании приложенных документов, стоимость трехразового горячего питания (завтрак, обед и ужин) не превышает сумму, указанную Заказчиком в качестве дневного лимита на одного человека за полный набор блюд ([FINANCIAL_DATA]). Хотим обратить ваше внимание на то, что в контракте № [DOCUMENT_NUMBER] от [DATE_TIME] не указано, включает ли указанная сумма НДС или нет. В нашем случае, стоимость блюд, как указано в сметах, представлена без учета НДС.

Предоставление горячего питания (завтрак, обед и ужин) с лимитом в размере [FINANCIAL_DATA], включая НДС, на одного человека в день за полный набор блюд возможно только путем исключения дорогих ингредиентов (говядины, индейки, грибов, трески), что существенно повлияет на состав меню и, как следствие, приведет к снижению качества питания, предоставляемого сотрудникам Заказчика, и будет противоречить техническим спецификациям.

В связи с этим, мы просим вас утвердить установление лимита на питание (завтрак, обед и ужин) на одного человека в день, включая НДС, в местах [OBJECT] и [OBJECT], а именно [ORGANIZATION].

Мы надеемся на ваше понимание и рассчитываем на продолжение взаимовыгодного сотрудничества!

Приложения:

*   Двухнедельное меню (в соответствии с требованиями).
*   Сметные расчеты.
*   Универсальные транспортные документы (УТД) на продукты питания.
[PERSON]"
Проект сервиса скважин,"Тема: О предоставлении информации для разрешения претензий

Кому: Заместителю руководителя проекта по буровым и сервисным работам

Уважаемый [Имя получателя],

В соответствии с действующими контрактами от [Дата] № [Номер контракта], [Номер контракта], [Номер контракта], [Номер контракта] (далее – «контракты»), и в ответ на ваш запрос о согласии на предоставление филиалу компании [Название компании] информации для разрешения претензий, связанных с деятельностью компании [Название компании] в связи с инцидентом, произошедшим при отключении разъединителя подземного оборудования на скважине № [Номер скважины], месторождение [Название месторождения], [Местоположение] в период с [Дата начала] по [Дата окончания], настоящим уведомляем вас о том, что компания [Название компании] дает свое согласие на предоставление следующей информации компании [Название компании] в соответствии с вышеупомянутыми контрактами:

*   Контракт, включая информацию о ценах, подписи и данные о сторонах, а также все приложения к контрактам;
*   Документы, подтверждающие выполнение и оплату работ в период, когда произошел инцидент (например, акты выполненных работ формы КС-2, формы КС-3, договоры на оказание услуг, наряды на работы, платежные поручения, счета-фактуры) для скважины № [Номер скважины], месторождение [Название месторождения], [Местоположение].

С уважением,

[Имя], Главный инженер
[Имя], Старший инженер по вопросам трудовых норм
Тел.: [Номер телефона] [Номер телефона]
Почтовый адрес: [Номер почтового ящика] [Номер почтового ящика] [Номер почтового ящика]
www.[Адрес веб-сайта]
КПП: [Идентификационный номер налогоплательщика]
Тел.: [Номер телефона]
Факс: [Номер факса]
Электронная почта: [Адрес электронной почты]"
Проект сервиса скважин,"[ORGANIZATION] Инновационная сервисная компания ""Petro Engineering"", общество с ограниченной ответственностью
[LOCATION] Идентификационный номер налогоплательщика: [ID], Номер налогового учета: [ID]
Дата: [DATE_TIME]
Номер: [DOCUMENT_NUMBER]
Входящий номер: от [ORGANIZATION]
Кому: Заместителю руководителя проекта по буровым и эксплуатационным работам
[PERSON] Адрес: [LOCATION]
Телефон: [CONTACT]; Факс: [CONTACT]
Электронная почта: [CONTACT]
Тема: Отчет об итогах проверки
Уважаемый(ая) [PERSON],

Благодарим вас за доверие, оказанное компании [ORGANIZATION] в качестве подрядчика по подготовке и технической поддержке буровых растворов, в соответствии с контрактом № [DOCUMENT_NUMBER] от [DATE_TIME] (далее – ""Контракт""). Наши специалисты стремятся предоставлять высококачественные, технологически продвинутые услуги в области строительства скважин, включая бурение и реконструкцию скважин с использованием передовых технологий.

В процессе строительства объекта мы уделяем приоритетное внимание надлежащему выполнению работ по эксплуатации скважин на всех этапах, обеспечивая поддержание фактических концентраций химических реагентов и параметров бурового раствора, своевременную поставку материалов и оперативное удаление отходов. Мы тщательно соблюдаем все планы работ для существующих объектов, чтобы избежать сбоев в графике работ, и обеспечиваем плавную передачу скважины для ввода в эксплуатацию.

Однако, в процессе оказания первоначальных услуг могут возникать определенные вопросы, требующие особого внимания. В ответ на ваше письмо относительно отчета об итогах проверки, проведенной [ORGANIZATION], мы полностью рассмотрели все вопросы и хотели бы предоставить следующую информацию:

1.  В отношении проверки производственной базы были сделаны определенные замечания, которые были интерпретированы как нарушения.
    *   Относительно неиспользования средств индивидуальной защиты (СИЗ) сотрудниками склада: Эти сотрудники являются сотрудниками склада, который является представителем субподрядчика [ORGANIZATION]. В настоящее время сотрудники не выходят на производственную площадку без соответствующих СИЗ, в соответствии с требованиями и нормами Заказчика. Наш логистический специалист, который находится на производственной площадке в рабочее время склада, осуществляет контроль за этим.
    *   Относительно хранения химических реагентов: Утечки химических реагентов устранены. Химические реагенты хранятся без крышек только во временной зоне хранения (PRR) для временного хранения, перемещения и переупорядочивания. Повторная проверка склада была проведена для устранения выявленных вами проблем. Отчет прилагается в качестве Приложения № 1.

2.  Относительно отсутствия необходимого программного обеспечения на рабочем месте (КП): На момент проверки гидравлические расчеты выполнялись удаленно с использованием программного обеспечения, предоставленного инженером технической поддержки, и предоставлялись своевременно, в необходимом объеме, по запросу. В настоящее время лицензионное программное обеспечение установлено на скважине № [DOCUMENT_NUMBER], и инженер по буровым растворам прошел обучение и самостоятельно выполняет необходимые расчеты. Отчет об установке прилагается в качестве Приложения № 2.

Компания [ORGANIZATION] заинтересована в конструктивном и эффективном сотрудничестве. Мы просим вас рассмотреть данную ситуацию и принять решение, исходя из наших общих интересов. Мы надеемся на продолжение продуктивного и взаимовыгодного сотрудничества.

Приложения:
1. Отчет о повторной проверке, проведенной [ORGANIZATION] - 4 страницы.
2. Отчет об установке программного обеспечения от [DATE_TIME] - 1 страница.

[PERSON]
Подготовлено: [PERSON]
Телефон: [CONTACT]
Электронная почта: [CONTACT]"
Проект сервиса скважин,"[ORGANIZATION] Адрес: [LOCATION]
Телефон: [CONTACT]
Идентификационный номер налогоплательщика (ИНН): [ID]
Код подразделения: [ID]
Основной государственный регистрационный номер (ОГРН): [DOCUMENT_NUMBER]
[DATE_TIME] Номер: [DOCUMENT_NUMBER]
Дата: [DOCUMENT_NUMBER]
[PERSON]
[ORGANIZATION] О внесении изменений в реквизиты для оплаты
Уважаемый(ая) [PERSON],

В соответствии с постановлением [ORGANIZATION] от [DATE_TIME], номер [DOCUMENT_NUMBER], уведомляем вас о том, что в связи с переходом ранее открытых счетов на единую систему, банковские реквизиты для [ORGANIZATION] изменяются в соответствии с договором на выполнение работ, связанных с цементированием обсадных колонн и обсадных труб, номер [DOCUMENT_NUMBER] от [DATE_TIME].

Пожалуйста, учтите эти изменения при подготовке документов и осуществлении платежей в адрес [ORGANIZATION].

Новые единые банковские реквизиты следующие:
Номер счета: [FINANCIAL_DATA]
Банк: [ORGANIZATION] ([LOCATION])
Банковский идентификационный код (БИК): [FINANCIAL_DATA]
Номер корреспондентского счета: [FINANCIAL_DATA]

Если для оформления этих изменений необходимо заключить дополнительное соглашение, пожалуйста, направляйте свои запросы по следующему адресу электронной почты: [CONTACT]
[ORGANIZATION] надеется на долгое и плодотворное сотрудничество.
Первый заместитель директора по производству: [PERSON]
Телефон: [CONTACT]
[PERSON]"
Проект сервиса скважин,"[ORGANIZATION] От [DATE_TIME] № [DOCUMENT_NUMBER] Относительно № [DOCUMENT_NUMBER] От [DATE_TIME] Заместителя руководителя отдела договорной работы компании BCP [ORGANIZATION] [PERSON] Коммерческое предложение Уважаемый/ая [PERSON]! В ответ на ваш запрос № [DOCUMENT_NUMBER] от [DATE_TIME], мы направляем вам коммерческое предложение [ORGANIZATION]. № Наименование товара Единица измерения Цена за единицу Количество Цена за единицу (руб., без НДС) Общая стоимость (руб., без НДС) 1 [PRODUCT] [PRODUCT_CODE] шт. [QUANTITY] [PRICE_PER_UNIT] [TOTAL_PRICE] 2 [PRODUCT] [PRODUCT_CODE] шт. [QUANTITY] [PRICE_PER_UNIT] [TOTAL_PRICE] 3 [PRODUCT] [PRODUCT_CODE] шт. [QUANTITY] [PRICE_PER_UNIT] [TOTAL_PRICE] 4 [PRODUCT] [PRODUCT_CODE] шт. [QUANTITY] [PRICE_PER_UNIT] [TOTAL_PRICE] 5 [PRODUCT] [PRODUCT_CODE] шт. [QUANTITY] [PRICE_PER_UNIT] [TOTAL_PRICE] 6 [PRODUCT] [PRODUCT_CODE] шт. [QUANTITY] [PRICE_PER_UNIT] [TOTAL_PRICE] 7 [PRODUCT] [PRODUCT_CODE] шт. [QUANTITY] [PRICE_PER_UNIT] [TOTAL_PRICE] 8 [PRODUCT] [PRODUCT_CODE] шт. [QUANTITY] [PRICE_PER_UNIT] [TOTAL_PRICE] 9 [PRODUCT] [PRODUCT_CODE] шт. [QUANTITY] [PRICE_PER_UNIT] [TOTAL_PRICE] 10 [PRODUCT] [PRODUCT_CODE] шт. [QUANTITY] [PRICE_PER_UNIT] [TOTAL_PRICE] 11 [PRODUCT] [PRODUCT_CODE] шт. [QUANTITY] [PRICE_PER_UNIT] [TOTAL_PRICE] 12 [PRODUCT] [PRODUCT_CODE] шт. [QUANTITY] [PRICE_PER_UNIT] [TOTAL_PRICE] Итого (без НДС): [FINANCIAL_DATA] НДС (20%): [FINANCIAL_DATA] Итого (с НДС): [FINANCIAL_DATA] [PRODUCT] [PRODUCT_CODE] шт. Итого (с НДС): [FINANCIAL_DATA] Условия поставки указаны в стандартных условиях поставки. Срок поставки: [DATE_TIME] - [DATE_TIME] Остаток товара. Условия оплаты: Определяются в договоре. Срок действия коммерческого предложения: [DATE_TIME] Генеральный директор [PERSON] ©[DATE_TIME] [ORGANIZATION]"
Проект сервиса скважин,"[ORGANIZATION] Юридический адрес: [LOCATION]
<0> Почтовый адрес: [LOCATION]
<0> Телефон: [CONTACT]; Факс: [CONTACT]
<0> Электронная почта: [CONTACT]; www.[ORGANIZATION]
<0> ИНН: [ID], ИНН/Номер плательщика НДС: [ID]
<0> Кому: [PERSON], Заместителю руководителя проекта бурения и ремонта скважин
<0> От: [PERSON], Заместителю директора по производству
<0> Дата: [DATE_TIME]
<0> Регистрационный номер: [DOCUMENT_NUMBER]
<0> Тема: Ответ на письмо [DOCUMENT_NUMBER] от [DATE_TIME] относительно уборки территории базы бурения и ремонта скважин на [NUMBER] км.
<0> Уважаемый(ая) [PERSON],
<0> Компания [ORGANIZATION] выражает свое уважение и благодарит вас за предоставленную возможность оказания услуг в области технической поддержки буровых растворов на объектах [ORGANIZATION] в рамках договора № [DOCUMENT_NUMBER] от [DATE_TIME].
<0> В ответ на ваше письмо от [DATE_TIME] (регистрационный номер [DOCUMENT_NUMBER]) относительно уборки территории базы бурения и ремонта скважин на [NUMBER] км, хотим сообщить, что после вывоза оборудования с площадки [NUMBER] предприятия [NUMBER] ЧНГКМ и передачи складской территории, как указано в Акте демонтажа – Приложение 1, мы приступили к подготовке и уборке складской территории на базе бурения и ремонта скважин на <27> км ЧНГКМ.
<0> В период с [DATE_TIME] по [DATE_TIME] была проведена уборка части территории базы, и [FINANCIAL_DATA] тонн некондиционных материалов и бурового отхода, образовавшихся в результате использования химических реагентов для буровых растворов на производственных объектах (мешки, бочки, деревянные поддоны, пластиковые контейнеры), были вывезены для последующей утилизации.
<0> В связи с погодными условиями и наличием снежного покрова в данном районе, завершение уборки складских площадок на базе бурения и ремонта скважин на [NUMBER] км ЧНГКМ запланировано на [DATE_TIME].
<0> График уборки территории базы: Приложение 2.
<0> Мы высоко ценим сложившееся партнерство между нашими компаниями и надеемся на дальнейшее плодотворное сотрудничество.
<0> Приложения:
<0> 1. Акт демонтажа площадки <26> предприятия <27> ЧНГКМ от [DATE_TIME].
<0> 2. График уборки территории базы бурения и ремонта скважин на [NUMBER] км ЧНГКМ.
<0> С уважением,
<0> [PERSON]
<0> [PERSON]
<0> [CONTACT]"
